,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,2146 ,ＵＴグループ　普通株式,"UT Group Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.99%,"402,617 ","4,026 ",2019/04/23,1.01%,,,,,,,,,,,,
,2019/04/24,2146 ,ＵＴグループ　普通株式,"UT Group Co.,Ltd.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.55%,"224,849 ","2,248 ",2019/04/23,0.58%,,,,,,,,,,,,
,2019/04/24,2160 ,ジーエヌアイグループ　普通株式,GNI Group Ltd.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.61%,"84,699 ",846 ,2019/04/22,0.52%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,2160 ,ジーエヌアイグループ　普通株式,GNI Group Ltd.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.60%,"83,785 ",837 ,2019/04/22,0.51%,,,,,,,,,,,,
,2019/04/24,2168 ,パソナグループ　普通株式,Pasona Group Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.48%,"202,600 ","2,026 ",2019/04/17,0.51%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,2176 ,イナリサーチ　普通株式,Ina Research Inc.,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.73%,"21,900 ",219 ,2019/04/23,0.93%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,2176 ,イナリサーチ　普通株式,Ina Research Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.10%,"33,200 ",332 ,2019/04/22,1.00%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,2176 ,イナリサーチ　普通株式,Ina Research Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.95%,"28,600 ",286 ,2019/04/19,1.06%,,,,,,,,,,,,
,2019/04/24,2181 ,パーソルホールディングス　普通株式,"PERSOL HOLDINGS CO.,LTD.",J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.18%,"445,650 ","4,456 ",2019/04/10,0.72%,,,,,,,,,,,,
,2019/04/24,2330 ,フォーサイド　普通株式,"Forside Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.76%,"553,300 ","5,533 ",2019/04/03,1.88%,,,,,,,,,,,,
