,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,3661 ,エムアップ　普通株式,"m-up,Inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.98%,"88,500 ",885 ,2019/04/23,1.09%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3661 ,エムアップ　普通株式,"m-up,Inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,2.00%,"180,800 ","1,808 ",2019/04/19,1.94%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3668 ,コロプラ　普通株式,"COLOPL,Inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.57%,"745,112 ","7,451 ",2019/04/22,0.67%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3672 ,オルトプラス　普通株式,AltPlusInc.,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.48%,"67,700 ",677 ,2019/04/23,0.50%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3674 ,オークファン　普通株式,"Aucfan Co.,Ltd.",Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.79%,"83,700 ",837 ,2019/04/02,0.80%,,,,,,,,,,,,
,2019/04/24,3680 ,ホットリンク　普通株式,Hotto Link Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.07%,"168,900 ","1,689 ",2019/04/23,1.13%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3680 ,ホットリンク　普通株式,Hotto Link Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,3.80%,"595,900 ","5,959 ",2019/04/22,3.70%,,,,,,,,,,,,
,2019/04/24,3680 ,ホットリンク　普通株式,Hotto Link Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.45%,"71,000 ",710 ,2019/04/22,0.60%,,,,,,,,,,,,
,2019/04/24,3682 ,エンカレッジ・テクノロジ　普通株式,"Encourage Technologies Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.15%,"80,000 ",800 ,2019/04/08,1.29%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,3686 ,ディー・エル・イー　普通株式,DLE Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.51%,"104,900 ","1,049 ",2019/04/18,0.43%,,,,,,,,,,,,
,2019/04/24,3687 ,フィックスターズ　普通株式,Fixstars Corporation,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,1.09%,"367,700 ","3,677 ",2019/04/11,1.10%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3692 ,ＦＦＲＩ　普通株式,"FFRI,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.00%,"82,700 ",827 ,2019/04/19,0.98%,,,,,,,,,,,,
,2019/04/25,3694 ,オプティム　普通株式,OPTiM CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.50%,"139,880 ","1,398 ",2019/04/16,0.42%,,,,,,,,,,,,
,2019/04/24,3696 ,セレス　普通株式,CERES INC.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.19%,"22,200 ",222 ,2019/04/19,0.60%,Below the threshold,,,,,,,,,,,
,2019/04/24,3698 ,ＣＲＩ・ミドルウェア　普通株式,"CRI Middleware Co.,Ltd.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.98%,"50,000 ",500 ,2019/04/23,1.10%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3719 ,ジェクシード　普通株式,"GEXEED CO.,LTD.",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.55%,"102,200 ","1,022 ",2019/04/23,0.55%,,,,,,,,,,,,
,2019/04/24,3719 ,ジェクシード　普通株式,"GEXEED CO.,LTD.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.67%,"125,600 ","1,256 ",2019/04/19,0.81%,,,,,,,,,,,,
,2019/04/24,3758 ,アエリア　普通株式,Aeria Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.40%,"95,900 ",959 ,2019/04/12,0.72%,,,,,,,,,,,,
,2019/04/24,3758 ,アエリア　普通株式,Aeria Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.70%,"166,400 ","1,664 ",2019/04/22,0.63%,,,,,,,,,,,,
,2019/04/24,3760 ,ケイブ　普通株式,"CAVE Interactive CO.,LTD.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.59%,"23,100 ",231 ,2019/04/23,0.63%,,,,,,,,,,,,
,2019/04/24,3769 ,ＧＭＯペイメントゲートウェイ　普通株式,"GMO Payment Gateway,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.60%,"449,154 ","4,491 ",2019/04/22,0.62%,,,,,,,,,,,,
,2019/04/24,3776 ,ブロードバンドタワー　普通株式,"BroadBand Tower,Inc.",Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,4.64%,"2,484,000 ","24,840 ",2019/04/22,4.74%,,,,,,,,,,,,
,2019/04/24,3776 ,ブロードバンドタワー　普通株式,"BroadBand Tower,Inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,2.06%,"1,104,500 ","11,045 ",2019/04/17,2.13%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3776 ,ブロードバンドタワー　普通株式,"BroadBand Tower,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.18%,"633,800 ","6,338 ",2019/04/19,1.28%,,,,,,,,,,,,
,2019/04/24,3784 ,ヴィンクス　普通株式,VINX CORP.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.79%,"140,671 ","1,406 ",2019/04/17,0.97%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3807 ,フィスコ　普通株式,FISCO Ltd.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.55%,"211,400 ","2,114 ",2019/04/23,0.54%,,,,,,,,,,,,
,2019/04/24,3810 ,サイバーステップ　普通株式,"CyberStep,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.86%,"58,600 ",586 ,2019/04/23,0.88%,,,,,,,,,,,,
,2019/04/24,3823 ,アクロディア　普通株式,"Acrodea,Inc.",Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.69%,"168,900 ","1,689 ",2019/04/16,0.71%,,,,,,,,,,,,
,2019/04/24,3823 ,アクロディア　普通株式,"Acrodea,Inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.49%,"119,200 ","1,192 ",2019/04/23,0.60%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3825 ,リミックスポイント　普通株式,"Remixpoint,inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.57%,"327,800 ","3,278 ",2019/04/23,0.47%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3825 ,リミックスポイント　普通株式,"Remixpoint,inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.47%,"271,830 ","2,718 ",2019/04/23,0.54%,,,,,,,,,,,,
,2019/04/24,3825 ,リミックスポイント　普通株式,"Remixpoint,inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.54%,"309,200 ","3,092 ",2019/04/22,0.49%,,,,,,,,,,,,
,2019/04/24,3826 ,システムインテグレータ　普通株式,System Integrator Corp.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.13%,"237,000 ","2,370 ",2019/04/18,2.06%,,,,,,,,,,,,
,2019/04/25,3826 ,システムインテグレータ　普通株式,System Integrator Corp.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.59%,"65,998 ",659 ,2019/04/23,0.63%,,,,,,,,,,,,
,2019/04/24,3900 ,クラウドワークス　普通株式,CrowdWorks Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.59%,"89,100 ",891 ,2019/04/22,0.65%,,,,,,,,,,,,
,2019/04/24,3905 ,データセクション　普通株式,Datasection Inc.,OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.73%,"87,200 ",872 ,2019/04/23,0.73%,,,,,,,,,,,,
,2019/04/24,3906 ,ＡＬＢＥＲＴ　普通株式,ALBERT Inc.,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.66%,"21,700 ",217 ,2019/04/22,0.58%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3907 ,シリコンスタジオ　普通株式,Silicon Studio Corp.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.54%,"45,040 ",450 ,2019/04/23,1.44%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,3907 ,シリコンスタジオ　普通株式,Silicon Studio Corp.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.59%,"17,400 ",174 ,2019/04/24,0.68%,,,,,,,,,,,,
,2019/04/24,3909 ,ショーケース　普通株式,Showcase Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,2.31%,"156,900 ","1,569 ",2019/04/19,2.48%,,,,,,,,,,,,
,2019/04/24,3912 ,モバイルファクトリー　普通株式,"Mobile Factory,Inc.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.34%,"33,700 ",337 ,2019/04/23,0.66%,,,,,,,,,,,,
,2019/04/24,3914 ,ＪＩＧ－ＳＡＷ　普通株式,JIG-SAW INC.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.63%,"42,000 ",420 ,2019/04/23,0.62%,,,,,,,,,,,,
,2019/04/24,3927 ,フーバーブレイン　普通株式,Fuva Brain Limited,OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.52%,"23,500 ",235 ,2019/04/23,0.52%,,,,,,,,,,,,
,2019/04/24,3967 ,エルテス　普通株式,"Eltes Co.,Ltd.",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.53%,"27,300 ",273 ,2019/04/23,0.53%,,,,,,,,,,,,
,2019/04/24,3987 ,エコモット　普通株式,Ecomott Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.68%,"34,400 ",344 ,2019/04/23,0.73%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3987 ,エコモット　普通株式,Ecomott Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.83%,"42,200 ",422 ,2019/04/22,0.74%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3987 ,エコモット　普通株式,Ecomott Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.62%,"31,300 ",313 ,2019/04/22,0.57%,,,,,,,,,,,,
,2019/04/24,3989 ,シェアリングテクノロジー　普通株式,SHARINGTECHNOLOGY.INC,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.08%,"199,400 ","1,994 ",2019/03/19,1.18%,,,,,,,,,,,,
,2019/04/24,3990 ,ＵＵＵＭ　普通株式,"UUUM co.,ltd",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.58%,"110,400 ","1,104 ",2019/04/22,0.61%,,,,,,,,,,,,
,2019/04/24,3995 ,ＳＫＩＹＡＫＩ　普通株式,SKIYAKI Inc.,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.46%,"48,800 ",488 ,2019/04/22,0.53%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,3998 ,すららネット　普通株式,"SuRaLa Net Co.,Ltd.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.59%,"7,500 ",75 ,2019/04/01,0.60%,,,,,,,,,,,,
,2019/04/25,3998 ,すららネット　普通株式,"SuRaLa Net Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.59%,"7,600 ",76 ,2019/04/24,0.61%,,,,,,,,,,,,
,2019/04/25,4004 ,昭和電工　普通株式,Showa Denko K.K.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,2.57%,"3,853,124 ","38,531 ",2019/04/15,2.49%,,,,,,,,,,,,
,2019/04/24,4022 ,ラサ工業　普通株式,"Rasa Industries,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,2.47%,"197,001 ","1,970 ",2019/04/23,2.62%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,4046 ,大阪ソーダ　普通株式,"OSAKA SODA CO.,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.51%,"133,251 ","1,332 ",2019/04/23,0.49%,,,,,,,,,,,,
,2019/04/24,4062 ,イビデン　普通株式,"IBIDEN CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.59%,"844,008 ","8,440 ",2019/04/01,0.69%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4344 ,ソースネクスト　普通株式,SOURCENEXT CORPORATION,野村證券株式会社,東京都中央区日本橋一丁目９番１号,,,,5.87%,"8,001,484 ","80,014 ",2019/04/03,5.90%,,,,,,,,,,,,
,2019/04/25,4344 ,ソースネクスト　普通株式,SOURCENEXT CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.95%,"1,294,379 ","12,943 ",2019/04/24,1.08%,,,,,,,,,,,,
,2019/04/24,4347 ,ブロードメディア　普通株式,Broadmedia Corporation,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.32%,"1,049,800 ","10,498 ",2019/04/19,1.28%,,,,,,,,,,,,
,2019/04/25,4390 ,ＩＰＳ　普通株式,"IPS,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.80%,"98,700 ",987 ,2019/04/24,0.75%,,,,,,,,,,,,
,2019/04/24,4393 ,バンク・オブ・イノベーション　普通株式,"Bank of Innovation,Inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.42%,"16,700 ",167 ,2019/04/22,0.53%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,4393 ,バンク・オブ・イノベーション　普通株式,"Bank of Innovation,Inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.45%,"17,800 ",178 ,2019/04/23,0.50%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/25,4397 ,チームスピリット　普通株式,TeamSpirit Inc.,三井住友DSアセットマネジメント株式会社,東京都港区愛宕二丁目5番1号 愛宕グリーンヒルズMORIタワー 28階,,,国内株式ロングショート・マザーファンド,0.50%,"39,800 ",398 ,2019/04/23,0.49%,,,,,,,,,,,,
,2019/04/24,4424 ,Ａｍａｚｉａ　普通株式,"Amazia,inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.79%,"26,400 ",264 ,2019/04/23,0.81%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4428 ,シノプス　普通株式,sinops Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.31%,"3,800 ",38 ,2019/04/04,0.92%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4434 ,サーバーワークス　普通株式,"Serverworks Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.46%,"7,800 ",78 ,2019/04/23,0.50%,,,,,,,,,,,,
,2019/04/24,4436 ,ミンカブ・ジ・インフォノイド　普通株式,"MINKABU THE INFONOID,Inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.57%,"75,100 ",751 ,2019/04/23,0.71%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4563 ,アンジェス　普通株式,"AnGes,Inc.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,0.58%,"604,900 ","6,049 ",2019/04/23,0.65%,,,,,,,,,,,,
,2019/04/24,4563 ,アンジェス　普通株式,"AnGes,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.70%,"722,900 ","7,229 ",2019/04/23,0.54%,,,,,,,,,,,,
,2019/04/24,4565 ,そーせいグループ　普通株式,Sosei Group Corporation,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.89%,"685,096 ","6,850 ",2019/04/23,0.91%,SUBSEQUENT,,,,,,,,,,,
,2019/04/25,4565 ,そーせいグループ　普通株式,Sosei Group Corporation,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.88%,"1,438,118 ","14,381 ",2019/04/23,1.70%,,,,,,,,,,,,
,2019/04/24,4570 ,免疫生物研究所　普通株式,"Immuno-Biological Laboratories Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.97%,"84,800 ",848 ,2019/04/23,1.01%,,,,,,,,,,,,
,2019/04/24,4571 ,ナノキャリア　普通株式,"NanoCarrier Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.69%,"345,628 ","3,456 ",2019/04/08,0.76%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4571 ,ナノキャリア　普通株式,"NanoCarrier Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.29%,"640,553 ","6,405 ",2019/04/19,1.39%,,,,,,,,,,,,
,2019/04/24,4572 ,カルナバイオサイエンス　普通株式,"Carna Biosciences,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.49%,"53,500 ",535 ,2019/04/23,0.61%,,,,,,,,,,,,
,2019/04/24,4575 ,キャンバス　普通株式,"CanBas Co.,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.63%,"38,800 ",388 ,2019/04/23,0.70%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,4575 ,キャンバス　普通株式,"CanBas Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.46%,"88,900 ",889 ,2019/04/19,1.18%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4579 ,ラクオリア創薬　普通株式,RaQualia Pharma Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.79%,"366,878 ","3,668 ",2019/04/23,1.62%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,4579 ,ラクオリア創薬　普通株式,RaQualia Pharma Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.88%,"589,107 ","5,891 ",2019/04/23,2.77%,,,,,,,,,,,,
,2019/04/24,4579 ,ラクオリア創薬　普通株式,RaQualia Pharma Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.32%,"269,500 ","2,695 ",2019/04/22,1.22%,,,,,,,,,,,,
,2019/04/24,4582 ,シンバイオ製薬　普通株式,SymBio Pharmaceuticals Limited,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.93%,"838,300 ","8,383 ",2019/04/23,1.00%,,,,,,,,,,,,
,2019/04/24,4585 ,ＵＭＮファーマ　普通株式,UMN Pharma Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.19%,"182,100 ","1,821 ",2019/04/23,1.20%,,,,,,,,,,,,
,2019/04/24,4586 ,メドレックス　普通株式,"Medrx Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.47%,"173,800 ","1,738 ",2019/04/19,1.69%,,,,,,,,,,,,
,2019/04/25,4586 ,メドレックス　普通株式,"Medrx Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.64%,"71,100 ",711 ,2019/04/18,0.75%,,,,,,,,,,,,
,2019/04/24,4587 ,ペプチドリーム　普通株式,PeptiDream Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.54%,"670,239 ","6,702 ",2019/04/19,0.64%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,4588 ,オンコリスバイオファーマ　普通株式,Oncolys BioPharma Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.40%,"188,938 ","1,889 ",2019/04/23,1.07%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,4588 ,オンコリスバイオファーマ　普通株式,Oncolys BioPharma Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.84%,"256,600 ","2,566 ",2019/04/23,1.92%,,,,,,,,,,,,
,2019/04/25,4592 ,サンバイオ　普通株式,SanBio Company Limited,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.20%,"598,331 ","5,983 ",2019/04/22,1.15%,,,,,,,,,,,,
,2019/04/24,4597 ,ソレイジア・ファーマ　普通株式,Solasia Pharma K.K.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.17%,"1,239,748 ","12,397 ",2019/04/22,1.21%,,,,,,,,,,,,
,2019/04/24,4666 ,パーク２４　普通株式,"PARK24 Co.,Ltd.",J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.00%,0 ,0 ,2019/04/16,0.58%,,,,,,,,,,,,
,2019/04/24,4666 ,パーク２４　普通株式,"PARK24 Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.49%,"766,625 ","7,666 ",2019/04/10,0.51%,,,,,,,,,,,,
